Title,Price,Street,Meters,Rooms,Toilets,Phone
"Alquiler piso  en alquiler en calle dels madrazo, Sant Gervasi - Galvany en Barcelona",4.100 €,Sant Gervasi - Galvany - Carrer dels Madrazo,174 m2,4 hab.,4 baños,932411095
Alquiler piso s en Barri de les Corts Barcelona,1.750 €,Barri de les Corts - Travesera de les Corts,80 m2,4 hab.,1 baño,932172595
Alquiler piso en carrer de guàrdia 14 luminoso junto a las ramblas en Barcelona,1.050 €,Raval - Carrer de Guàrdia 14,50 m2,1 hab.,1 baño,933157425
Alquiler estudio  en alquiler en Santsmontjuïc en Barcelona,1.300 €,Sants - Sants,55 m2,1 baño,"23,64 €/m2",938348202
Alquiler piso amplio y moderno apartamento cerca del hospital clínico en Barcelona,2.500 €,L´Antiga Esquerra de l´Eixample - Carrer de Mallorca,90 m2,3 hab.,2 baños,934173266
Alquiler piso obra nueva en l’hospitalet de llobregat en Hospitalet de Llobregat (L´),1.290 €,Sant Josep,56 m2,2 hab.,1 baño,931549706
Alquiler piso amplio y luminoso piso en alquiler en Sarrià en Barcelona,1.850 €,Sarrià - Carrer de Ramon Miquel i Planas,120 m2,4 hab.,2 baños,938348202
Alquiler apartamento  de 2 dormitorios en poblenou en Barcelona,2.200 €,El Parc i la Llacuna del Poblenou - Carrer de la Ciutat de Granada,67 m2,2 hab.,2 baños,+34911235203
Alquiler ático en L´Antiga Esquerra de l´Eixample Barcelona,1.800 €,L´Antiga Esquerra de l´Eixample - Carrer del Rosselló,72 m2,2 hab.,2 baños,934197184
Alquiler piso obra nueva en l’hospitalet de llobregat en Hospitalet de Llobregat (L´),1.290 €,Sant Josep,56 m2,2 hab.,1 baño,931549706
Alquiler piso en de gràcia 99 en Dreta de l´Eixample Barcelona,2.300 €,Dreta de l´Eixample - de Gràcia 99,99 m2,2 hab.,2 baños,932049951
"Alquiler piso  en alquiler , con 115 m2, 3 habitaciones y 2 baños, ascensor, amueblado y aire acondicionado. en Barcelona",3.564 €,Dreta de l´Eixample - Passeig de Gràcia,115 m2,3 hab.,2 baños,931222465
Alquiler piso  temporal en alquiler en el putxet i el farró en Barcelona,1.300 €,Putget - Farró - Carrer de Craywinckel,81 m2,2 hab.,1 baño,934197184
Alquiler dúplex  de luxe a l'av. diagonal / balmes en Barcelona,3.500 €,Sant Gervasi - Galvany,130 m2,3 hab.,2 baños,933020536
Alquiler piso en La Torrassa Hospitalet de Llobregat (L´),1.180 €,La Torrassa - Carrer del Montseny,49 m2,2 hab.,1 baño,937379494
Alquiler piso en Dreta de l´Eixample Barcelona,2.800 €,Dreta de l´Eixample,101 m2,2 hab.,2 baños,933041860
Alquiler apartamento en Gòtic Barcelona,2.900 €,Gòtic - Carrer de Petritxol,108 m2,3 hab.,2 baños,931309307
Alquiler apartamento en Raval Barcelona,1.500 €,Raval - Carrer del Bisbe Laguarda,80 m2,2 hab.,2 baños,931309307
"Alquiler piso finca regia, ubicación inmejorable!!! en Barcelona",2.700 €,Dreta de l´Eixample - Carrer de Pau Claris,195 m2,4 hab.,2 baños,622242186
Alquiler casa  en alquiler temporal en sant andreu en Barcelona,2.000 €,Sant Andreu de Palomar,130 m2,3 hab.,2 baños,932386570
Alquiler ático totalmente equipado. parking incluido. en Barcelona,1.985 €,Barri de les Corts - Carrer de Numància,95 m2,3 hab.,2 baños,932044616
Alquiler apartamento  de 2 dormitorios en sant gervasi en Barcelona,2.310 €,Sant Gervasi - Galvany - Carrer de Modolell,96 m2,2 hab.,1 baño,+34911235203
Alquiler piso  de alquiler temporal en el Raval en Barcelona,1.300 €,Raval - Carrer de l'Hospital,55 m2,2 hab.,1 baño,934197184
Alquiler ático en L´Antiga Esquerra de l´Eixample Barcelona,1.800 €,L´Antiga Esquerra de l´Eixample - Carrer del Rosselló,42 m2,2 hab.,1 baño,934197184
Alquiler apartamento en Barceloneta Barcelona,3.300 €,Barceloneta - Passeig Joan de Borbo,85 m2,2 hab.,2 baños,931309307
Alquiler piso en St. Pere - Sta. Caterina - El Born Barcelona,750 €,St. Pere - Sta. Caterina - El Born - Carrer de Sant Pere Més Alt,15 m2,1 hab.,1 baño,931309307
Alquiler estudio piso en alquiler Sants en Sants Barcelona,1.300 €,Sants - Carrer de Watt,55 m2,1 baño,"23,64 €/m2",938348202
Alquiler piso amplio y bonito piso en alquiler en el Baix Guinardó en Barcelona,1.700 €,Baix Guinardó - Carrer de Padilla,75 m2,4 hab.,1 baño,938348202
Alquiler apartamento  en alquiler en ciutat vella en Barcelona,1.100 €,St. Pere - Sta. Caterina - El Born - Carrer de l'Argenteria,30 m2,1 hab.,1 baño,938348202
Alquiler piso obra nueva en l’hospitalet de llobregat en Hospitalet de Llobregat (L´),1.290 €,Sant Josep,56 m2,2 hab.,1 baño,931549706
Alquiler piso obra nueva en l’hospitalet de llobregat en Hospitalet de Llobregat (L´),1.300 €,Sant Josep,56 m2,2 hab.,1 baño,931549706
Alquiler piso en Sant Gervasi - Bonanova Barcelona,2.300 €,Sant Gervasi - Bonanova - Carrer de Ganduxer,90 m2,2 hab.,2 baños,932044616
Alquiler apartamento en Barceloneta Barcelona,2.450 €,Barceloneta - Passeig de Joan de Borbó,70 m2,3 hab.,1 baño,931309307
Alquiler piso paseo de san juan - arc de triomf - finca regia - 160m2 en Barcelona,2.350 €,Dreta de l´Eixample - Passeig de Sant Joan,160 m2,3 hab.,2 baños,934150048
Alquiler piso vallcarca - rep. argentina - 2 dormitorios - balcon en Barcelona,1.050 €,Vallcarca - Penitents - Avinguda de la República Argentina,55 m2,2 hab.,1 baño,934150048
Alquiler piso  de 3 habitaciones con balcón exterior en Barcelona,850 €,Guinardó - Avinguda de la Mare de Déu de Montserrat,60 m2,1 hab.,"14,17 €/m2",933429530
Alquiler piso  en alquiler en la Vila de Gràcia incluye parking moto exterior y wifi. en Barcelona,1.800 €,Vila de Gràcia - Carrer de Siracusa,109 m2,1 hab.,1 baño,972909969
Alquiler piso spacious renovated amazing with balconies near beach center en Barcelona,2.990 €,El Poble Sec - Parc de Montjuïc,143 m2,3 hab.,3 baños,690350016
Alquiler piso listo para entrar a vivir en Sant Gervasi - Galvany Barcelona,3.200 €,Sant Gervasi - Galvany - Calle del Doctor Fleming,149 m2,3 hab.,2 baños,649839870
Alquiler piso precioso piso con balcon en Gòtic Barcelona,2.450 €,Gòtic,70 m2,1 hab.,1 baño,689934241
Alquiler piso en Gòtic Barcelona,2.600 €,Gòtic,68 m2,3 hab.,1 baño,689934241
Alquiler piso en carrer gran de gràcia 69 piso en calle gran de gracia en Barcelona,2.000 €,Vila de Gràcia - Carrer Gran de Gràcia 69,70 m2,2 hab.,1 baño,672436878
Alquiler piso  modernista proximo a plaza catalunya en Barcelona,2.500 €,Dreta de l´Eixample - Carrer de Balmes,90 m2,2 hab.,3 baños,930153319
Alquiler piso elegante piso de lujo en plaza lesseps en Barcelona,3.475 €,Vallcarca - Penitents - Avinguda de la República Argentina,180 m2,4 hab.,2 baños,697434509
Alquiler piso vivienda con terraza y plaza de parking en Tres Torres en Barcelona,3.950 €,Tres Torres - Carrer de Rosales,172 m2,4 hab.,3 baños,934144843
Alquiler ático en carrer de provença 124 sobreatico alquiler de temporada consultar condiciones en Barcelona,1.900 €,La Nova Esquerra de l´Eixample - Carrer de Provença 124,90 m2,3 hab.,2 baños,606874122
Alquiler piso en carrer de batllori 14 ¡sin comisiones de agencia! en Hospitalet de Llobregat (L´),1.390 €,Sant Josep - Carrer de Batllori 14,69 m2,2 hab.,1 baño,935951684
Alquiler dúplex refugio de lujo en diagonal mar: un piso exclusivo con terraza y vistas al mar en Barcelona,6.000 €,Diagonal Mar i el Front Marítim del Poblenou - Carrer de Llull,173 m2,3 hab.,3 baños,672436878
Alquiler piso en carrer de batllori 12 ¡sin comisiones de agencia! en Hospitalet de Llobregat (L´),1.300 €,Sant Josep - Carrer de Batllori 12,60 m2,2 hab.,1 baño,935951684
Alquiler estudio en St. Pere - Sta. Caterina - El Born Barcelona,850 €,St. Pere - Sta. Caterina - El Born,30 m2,1 baño,"28,33 €/m2",910781711
Alquiler estudio en St. Pere - Sta. Caterina - El Born Barcelona,900 €,St. Pere - Sta. Caterina - El Born,30 m2,1 baño,"30,00 €/m2",910781711
Alquiler piso  de alquiler por temporada en calle picalquers en Barcelona,850 €,Raval - Carrer de Picalquers,44 m2,1 hab.,1 baño,934235404
Alquiler ático en carrer de viladomat 316 ático amueblado 3h a partir de junio en Barcelona,2.400 €,La Nova Esquerra de l´Eixample - Carrer de Viladomat 316,128 m2,3 hab.,2 baños,640575319
"Alquiler ático exclusivo atico de 90 m² + amplia terraza, amueblado, 2 habitaciones dobles, 2 baños en Barcelona",3.700 €,Dreta de l´Eixample - Carrer de la Diputació,90 m2,2 hab.,2 baños,672436878
Alquiler apartamento reformado en la Barceloneta en Barcelona,900 €,Barceloneta - Carrer del Baluard,40 m2,1 hab.,1 baño,666015053
"Alquiler piso precioso piso reformado con terraza y parking en turó park, en alquiler en Barcelona",9.500 €,Sant Gervasi - Galvany - Carrer de Modolell,380 m2,5 hab.,5 baños,677836971
Alquiler piso en carrer de batllori 14 ¡reserva ahora y consigue 1.000€ de descuento! en Hospitalet de Llobregat (L´),1.645 €,Sant Josep - Carrer de Batllori 14,95 m2,4 hab.,2 baños,935951684
Alquiler piso avda diagonal - plaça francesc macia - apartamento en Barcelona,1.500 €,Barri de les Corts - Avinguda Diagonal,60 m2,1 hab.,1 baño,934150048
Alquiler piso estrena tu hogar en gràcia: confort y modernidad a tu alcance en Badalona,2.590 €,La Salut - Carrer de Ramon i Cajal,109 m2,4 hab.,2 baños,672436878
Alquiler piso en carrer de batllori 24 ¡reserva ahora y consigue 1.000€ de descuento! en Hospitalet de Llobregat (L´),1.610 €,Sant Josep - Carrer de Batllori 24,93 m2,3 hab.,2 baños,935951684
Alquiler estudio en Sant Andreu de Palomar Barcelona,1.100 €,Sant Andreu de Palomar,1 m2,1 baño,"1.100,00 €/m2",910781711
Alquiler piso  en alquiler de temporada en Sant Gervasi - Galvany Barcelona,3.800 €,Sant Gervasi - Galvany,121 m2,3 hab.,2 baños,937542828
"Alquiler piso en sardenya 421 alquiler de temporada, para entrar a vivir en Barcelona",1.600 €,El Camp d´en Grassot i Gràcia Nova - SARDENYA 421,70 m2,2 hab.,1 baño,930157153
Alquiler piso en carrer de mejía lequerica 36 alquiler larga estancia amueblado les corts. en Barcelona,1.850 €,Sant Ramon - Maternitat - Carrer de Mejía Lequerica 36,107 m2,4 hab.,1 baño,650553682
Alquiler piso en L´Antiga Esquerra de l´Eixample Barcelona,1.900 €,L´Antiga Esquerra de l´Eixample,85 m2,3 hab.,2 baños,681162903
Alquiler piso alquiler piso san gervasi en Sant Gervasi - Bonanova Barcelona,1.300 €,Sant Gervasi - Bonanova - Passeig de Sant Gervasi,80 m2,3 hab.,1 baño,621623162
Alquiler piso en carrer de batllori 24 ¡reserva ahora y consigue 1.000€ de descuento! en Hospitalet de Llobregat (L´),1.605 €,Sant Josep - Carrer de Batllori 24,88 m2,3 hab.,2 baños,935951684
Alquiler piso  con balcón recién reformado y bien comunicado. en Barcelona,2.000 €,La Sagrera - Carrer de Felip II,90 m2,3 hab.,2 baños,626154215
Alquiler piso en carrer del cardenal reig 19 piso ideal familias o estudiantes de master en Barcelona,2.300 €,Sant Ramon - Maternitat - Carrer del Cardenal Reig 19,123 m2,4 hab.,2 baños,678622105
Alquiler piso  reformado totalmente amueblado en las corts. en Barcelona,1.850 €,Sant Ramon - Maternitat,107 m2,4 hab.,1 baño,935170101
Alquiler apartamento en carrer de la mercè 17 exclusivo apartamento en mercè de 3 dormitorios en Barcelona,11.000 €,Gòtic - Carrer de la Mercè 17,120 m2,3 hab.,3 baños,935952430
Alquiler piso muchos metros y gran versatilidad en Barcelona,4.400 €,Barri de les Corts - Avinguda Diagonal,268 m2,5 hab.,3 baños,607728483
Alquiler piso en carrer de balmes 433 en Sant Gervasi - Bonanova Barcelona,2.100 €,Sant Gervasi - Bonanova - Carrer de Balmes 433,68 m2,2 hab.,1 baño,698999316
Alquiler piso alquiler temporal: totalmente equipado listo para entrar a vivir! en Barcelona,2.000 €,La Nova Esquerra de l´Eixample - Carrer d'Aragó 56,80 m2,3 hab.,1 baño,619832594
Alquiler apartamento en carrer de la reina cristina 12 centro. alquiler temporal (de 32 días a 11 meses) en Barcelona,3.500 €,St. Pere - Sta. Caterina - El Born - Carrer de la Reina Cristina 12,80 m2,2 hab.,2 baños,932266625
Alquiler apartamento piso en zona inmejorable muy centrico en Barcelona,1.980 €,St. Pere - Sta. Caterina - El Born - Carrer de Trafalgar,62 m2,2 hab.,1 baño,699970474
Alquiler piso pis en lloguer zona Poblenou en Poblenou Barcelona,910 €,Poblenou,73 m2,2 hab.,1 baño,934852020
Alquiler piso en carrer de can ràbia 11 piso de 200m2 en gran sarriá en Barcelona,3.800 €,Tres Torres - Carrer de Can Ràbia 11,200 m2,5 hab.,4 baños,600573042
Alquiler piso  amueblado con terraza en La Nova Esquerra de l´Eixample Barcelona,2.000 €,La Nova Esquerra de l´Eixample - Carrer de la Diputació,104 m2,2 hab.,2 baños,934089518
Alquiler piso en avinguda diagonal 330 en Sagrada Família Barcelona,2.000 €,Sagrada Família - Avinguda Diagonal 330,100 m2,3 hab.,1 baño,663318844
Alquiler piso en carrer de sardenya 419 en El Camp d´en Grassot i Gràcia Nova Barcelona,1.650 €,El Camp d´en Grassot i Gràcia Nova - Carrer de Sardenya 419,80 m2,2 hab.,1 baño,663318844
Alquiler piso en carrer del comte d'urgell 33 piso reformado 3 habitaciones amplias en Barcelona,1.550 €,Sant Antoni - Carrer del Comte d'Urgell 33,90 m2,3 hab.,1 baño,934942579
Alquiler piso céntrico y luminoso (eix dret) en Dreta de l´Eixample Barcelona,1.550 €,Dreta de l´Eixample - Carrer de Provença,75 m2,3 hab.,1 baño,672232655
Alquiler apartamento en Dreta de l´Eixample Barcelona,2.500 €,Dreta de l´Eixample - Carrer de Pau Claris,80 m2,2 hab.,2 baños,931309307
Alquiler ático  en alquiler en Vallcarca - Penitents Barcelona,1.800 €,Vallcarca - Penitents - Avinguda de Vallcarca,100 m2,3 hab.,2 baños,655144122
Alquiler piso  en alquiler amueblado en avenida de roma (eixample esquerra) en Barcelona,2.500 €,L´Antiga Esquerra de l´Eixample - Avinguda de Roma,80 m2,2 hab.,2 baños,930191966
Alquiler apartamento merce mar 4 en Gòtic Barcelona,1.750 €,Gòtic - Carrer de la Mercè,65 m2,2 hab.,1 baño,627377665
"Alquiler piso dreta, paseo de gracia, piso de diseño de 60m², 1 habitación doble en suite, 1 baño completo, cocina totalmente equipada en Barcelona",1.550 €,Dreta de l´Eixample - Carrer d'Aragó,60 m2,1 hab.,1 baño,936404292
Alquiler apartamento en Dreta de l´Eixample Barcelona,2.000 €,Dreta de l´Eixample - Carrer Ali Bei,70 m2,2 hab.,1 baño,931309307
Alquiler piso en carrer de laforja 32 esquinero a estrenar con enorme terraza en Barcelona,2.950 €,Sant Gervasi - Galvany - Carrer de Laforja 32,96 m2,3 hab.,2 baños,934344795
Alquiler casa  de lujo amueblada en l`eixample dreta en Barcelona,8.000 €,Dreta de l´Eixample - Passatge de Permanyer,328 m2,3 hab.,3 baños,930191966
Alquiler piso  4 dormitorios con parking en Sant Gervasi - Bonanova Barcelona,2.040 €,Sant Gervasi - Bonanova,120 m2,4 hab.,2 baños,934153745
Alquiler piso en Vila de Gràcia Barcelona,6.250 €,Vila de Gràcia,193 m2,3 hab.,3 baños,616819245
Alquiler piso apartamento de 2 habitaciones cerca de la sagrada familia en Barcelona,2.200 €,Sagrada Família - Carrer de Mallorca,75 m2,2 hab.,1 baño,934173266
Alquiler piso en Sant Gervasi - Galvany Barcelona,6.000 €,Sant Gervasi - Galvany - Carrer de Lázaro Cárdenas,264 m2,6 hab.,4 baños,932030808
"Alquiler piso increible piso en hospitalet de llobregat, totalmente equipado y amueblado listo para entrar a vivir en Hospitalet de Llobregat (L´)",1.500 €,Sanfeliu - Passatge de Zuloaga,58 m2,3 hab.,1 baño,936404292
Alquiler apartamento en Sagrada Família Barcelona,890 €,Sagrada Família,1 m2,1 hab.,1 baño,910781711
Alquiler ático atico a estrenar en La Teixonera Barcelona,1.800 €,La Teixonera - Carrer de Santa Rosalia,140 m2,3 hab.,2 baños,655144122
"Alquiler piso  de 37m2 en la Barceloneta, 1 habitación doble, 1 baño completo, cocina equipada, totalmente amueblado en Barcelona",1.100 €,Barceloneta - BALUARD,37 m2,1 hab.,1 baño,936404292
Alquiler piso alquiler temporal quinta planta sin asensor muy luminoso con pequeñas vistas al mar en Barcelona,800 €,Barceloneta - Carrer del Doctor Giné i Partagàs,38 m2,1 hab.,1 baño,930217211
Alquiler apartamento en Gòtic Barcelona,1.200 €,Gòtic,49 m2,1 hab.,1 baño,933041860
Alquiler piso amueblado y con terraza en eix izq de 6 y 11 meses máximo. disponible a partir de julio en Barcelona,2.000 €,La Nova Esquerra de l´Eixample - Carrer de la Diputació,93 m2,2 hab.,2 baños,663353555
Alquiler piso en carrer d'aragó 97 alquiler temporada ensache izquierdo en Barcelona,1.390 €,La Nova Esquerra de l´Eixample - Carrer d'Aragó 97,72 m2,2 hab.,1 baño,658690959
Alquiler piso en carrer de laforja 32 en Sant Gervasi - Galvany Barcelona,2.800 €,Sant Gervasi - Galvany - Carrer de Laforja 32,123 m2,3 hab.,2 baños,934344795
"Alquiler piso increible piso en la planta baja, en excelentes condiciones, listo para entrar a vivir, ubicado en la Barceloneta. en Barcelona",1.100 €,Barceloneta - Carrer d'Andrea Dòria,43 m2,1 hab.,1 baño,936404292
Alquiler piso exclusive penthouse with private pool and sea views - paseo garcia faria en Barcelona,5.000 €,Diagonal Mar i el Front Marítim del Poblenou,157 m2,3 hab.,3 baños,697685734
